ano,munip_cod,munip_nome,munip_turistico,abast_rede_fator_correcao,esgot_fator_correcao,idh_2010,idhm_e_2010,idhm_l_2010,idhm_r_2010,proj_pop_urbana,proj_pop_rural,proj_pop_total,proj_domicilios_total,pop_total_2010,pop_urbana_2010,pop_rural_2010,pop_servida_abast_agua,pop_servida_poco_nasc,pop_abast_sist_adequados,pop_servida_rede_esgoto,pop_fossa_septica,pop_fossa_rudimentar,pop_servida_coleta_esgoto,prop_pop_abast_sist_adequados,prop_pop_servida_poco_nasc,prop_pop_servida_rede_publica_agua,prop_pop_servida_coleta_esgoto,prop_pop_fossa_septica,prop_pop_servida_rede_coleta,prop_perdas_rede_dist,prop_esgoto_tratado,num_dom_fossa_septica,num_dom_fossa_rudimentar,num_dom_abast_poco_na_propriedade,taxa_hab_domicilio,volume_agua_efe_disp,volume_agua_perdido_rede,volume_agua_efe_consumido,volume_esgoto_produzido,volume_esgoto_tratado,consumo_medio_per_capita
2010,350010,Adamantina,não,1,1,0.79,0.75,0.852,0.772,31948,1849,33797,11328,33797,31948,1849,34593.59242584746,1506.6635769774011,36100.25600282486,34026.72890183616,489.29272598870057,1306.7695974576272,34516.02162782486,106.81497175141243,4.457980225988701,102.35699152542372,102.12747175141243,1.4477401129943503,100.67973163841808,24.08331600471339,53.71055077804223,164,438,504.99999999999994,2.9834922316384183,2885.4,694.9000000000001,2398.9700000000003,1919.1760000000004,1030.8,193.15757817644757
2011,350010,Adamantina,não,1,1,0.79,0.75,0.852,0.772,32047,1764,33811,11430,33797,31948,1849,35662.76605424322,1507.2876942090395,37170.05374845226,34884.78766404199,489.49540960451975,1307.3109110169491,35374.28307364651,109.93479562406394,4.457980225988701,105.47681539807523,104.62359313136704,1.4477401129943501,103.17585301837269,25.37383727775815,89.00959266948242,165.47669491525423,441.9438559322034,509.54713983050846,2.958092738407699,2887.62,732.6999999999998,2374.73,1899.784,1690.99,186.50277168656422
2012,350010,Adamantina,não,1,1,0.79,0.75,0.852,0.772,32143,1685,33828,11533,33797,31948,1849,36239.0479493627,1508.0455508474577,37747.093500210154,35535.09234370936,489.74152542372883,1307.9682203389832,36024.83386913309,111.58535384950383,4.457980225988701,107.12737362351513,106.49412873694301,1.4477401129943503,105.04638862394866,25.25846134652699,88.94646371788708,166.96786723163842,445.9263771186441,514.1388594632768,2.9331483568889274,3045.9100000000003,769.3500000000004,2507.3650000000002,2005.8920000000003,1784.1699999999998,193.3157534597209
2013,350010,Adamantina,não,1,1,0.79,0.75,0.852,0.772,32233,1612,33845,11637,33797,31948,1849,36474.18965369081,1508.8034074858754,37982.99306117668,35892.51052676806,489.98764124293785,1308.6255296610168,36382.498168011,112.22630539570598,4.4579802259887,107.76832516971727,107.4974092717122,1.4477401129943503,106.04966915871785,24.558243635629225,89.40823121875388,168.47351694915255,449.947563559322,518.775158898305,2.908395634613732,3020.3300000000004,741.7400000000002,2501.112,2000.8896000000002,1788.96,190.9134118307282
2014,350010,Adamantina,não,1,1,0.79,0.75,0.852,0.772,32318,1544,33862,11742,33797,31948,1849,36936.16896610458,1509.5612641242938,38445.73023022887,36391.12399931868,490.23375706214694,1309.2828389830509,36881.35775638083,113.5365017725736,4.457980225988701,109.0785215465849,108.91665511895584,1.4477401129943506,107.46891500596149,26.665375124258027,92.15332279302747,169.99364406779662,454.0074152542373,523.4560381355932,2.883835803099983,3148.69,839.6100000000001,2560.9629999999997,2048.7704,1888.01,192.80352501430647
2015,350010,Adamantina,não,1,1,0.79,0.75,0.852,0.772,32398,1481,33879,11847,33797,31948,1849,37101.894656875156,1510.3191207627115,38612.213777637866,36715.83362876678,490.47987288135596,1309.9401483050847,37206.31350164813,113.97093709270601,4.4579802259887,109.5129568667173,109.82116798502946,1.4477401129943503,108.37342787203511,23.545899990727985,94.13704259427368,171.5137711864407,458.06726694915255,528.1369173728813,2.859711319321347,2804.14,660.2599999999998,2341.958,1873.5664000000002,1763.72,174.75630139700974
2016,350010,Adamantina,não,1,1,0.79,0.75,0.852,0.772,32460,1422,33882,11942,33797,31948,1849,37096.56255233629,1510.4528601694915,38607.01541250578,36872.42270976386,490.5233050847457,1310.0561440677966,37362.9460148486,113.9455032539572,4.457980225988701,109.48752302796849,110.27373240909215,1.4477401129943501,108.8259922960978,24.672649698396356,109.97461468121739,172.8891242937853,461.74046610169495,532.3719985875706,2.8372131971194103,2922.71,721.1100000000001,2417.933,1934.3464000000001,2127.29,179.65930865857024
2017,350010,Adamantina,não,1,1,0.79,0.75,0.852,0.772,32518,1367,33885,12037,33797,31948,1849,37336.276065464815,1510.586599576271,38846.86266504109,37156.11157265099,490.5667372881356,1310.1721398305085,37646.678309939125,114.64324233448751,4.457980225988701,110.1852621084988,111.10130827781946,1.4477401129943503,109.6535681648251,24.46778716210516,110.92540836959168,174.26447740112994,465.4136652542373,536.6070798022598,2.8150702002160006,2963.57,725.1199999999999,2455.9860000000003,1964.7888000000003,2179.4500000000003,181.09345898498202
2018,350010,Adamantina,não,1,1,0.79,0.75,0.852,0.772,32572,1316,33888,12133,33797,31948,1849,37753.572570675016,1510.7203389830506,39264.29290965807,37549.680375834505,490.6101694915254,1310.2881355932204,38040.29054532603,115.86488700914208,4.457980225988701,111.40690678315337,112.25298201524443,1.4477401129943503,110.80524190225007,24.06724107799398,111.14089637609376,175.6543079096045,469.12552966101697,540.886740819209,2.7930437649385973,3032.67,729.8800000000001,2521.754,2017.4032,2242.16,183.99397809360465
2010,350020,Adolfo,não,1,1,0.73,0.648,0.844,0.71,3200,357,3557,1200,3557,3200,357,3557,376.4491666666667,3933.4491666666668,3559.964166666667,284.56,195.63500000000002,3844.524166666667,110.58333333333334,10.583333333333336,100,108.08333333333336,8,100.08333333333336,18.475947211579395,93.38939956972423,96,66,127,2.964166666666667,234.9,43.400000000000006,204.52,163.616,152.8,157.39730539140376
