ano,munip_cod,munip_nome,munip_turistico,abast_rede_fator_correcao,esgot_fator_correcao,idh_2010,idhm_e_2010,idhm_l_2010,idhm_r_2010,proj_pop_urbana,proj_pop_rural,proj_pop_total,proj_domicilios_total,pop_total_2010,pop_urbana_2010,pop_rural_2010,pop_servida_abast_agua,pop_servida_poco_nasc,pop_abast_sist_adequados,pop_servida_rede_esgoto,pop_fossa_septica,pop_fossa_rudimentar,pop_servida_coleta_esgoto,prop_pop_abast_sist_adequados,prop_pop_servida_poco_nasc,prop_pop_servida_rede_publica_agua,prop_pop_servida_coleta_esgoto,prop_pop_fossa_septica,prop_pop_servida_rede_coleta,prop_perdas_rede_dist,prop_esgoto_tratado,domicilios_total_2010,num_dom_fossa_septica,num_dom_fossa_rudimentar,num_dom_abast_poco_na_propriedade,taxa_hab_domicilio,volume_agua_efe_disp,volume_agua_perdido_rede,volume_agua_efe_consumido,volume_esgoto_produzido,volume_esgoto_tratado,consumo_medio_per_capita,ind_ag013,abast_rede_geral_ibge_2010
2010,350010,Adamantina,não,0.9301423027166882,0.9385357299430075,0.79,0.75,0.852,0.772,31948,1849,33797,11328,33797,31948,1849,32176.96371822034,1506.6635769774011,33683.627295197744,31935.30084745763,489.29272598870057,1306.7695974576272,32424.59357344633,99.6645480225989,4.457980225988701,95.20656779661019,95.93926553672317,1.4477401129943503,94.49152542372882,24.08331600471339,53.71055077804223,11328,164,438,504.99999999999994,2.9834922316384183,2885.4,694.9000000000001,2398.9700000000003,1919.1760000000004,1030.8,204.2616763191826,11595,10785
2011,350010,Adamantina,não,0.9301423027166882,0.9385357299430075,0.79,0.75,0.852,0.772,32047,1764,33811,11430,33797,31948,1849,33171.44733894033,1507.2876942090395,34678.735033149365,32740.619654178474,489.49540960451975,1307.3109110169491,33230.11506378299,102.56642818357744,4.457980225988701,98.10844795758874,98.28196463808521,1.4477401129943501,96.83422452509086,25.37383727775815,89.00959266948242,11328,165.47669491525423,441.9438559322034,509.54713983050846,2.958092738407699,2887.62,732.6999999999998,2374.73,1899.784,1690.99,196.13583702160327,12056,10785
2012,350010,Adamantina,não,0.9301423027166882,0.9385357299430075,0.79,0.75,0.852,0.772,32143,1685,33828,11533,33797,31948,1849,33707.4715078807,1508.0455508474577,35215.517058728154,33350.95383139544,489.74152542372883,1307.9682203389832,33840.69535681917,104.10168221215605,4.457980225988701,99.64370198616734,100.03752913804887,1.4477401129943503,98.58978902505451,25.25846134652699,88.94646371788708,11328,166.96786723163842,445.9263771186441,514.1388594632768,2.9331483568889274,3045.9100000000003,769.3500000000004,2507.3650000000002,2005.8920000000003,1784.1699999999998,203.79734353788206,12355,10785
2013,350010,Adamantina,não,0.9301423027166882,0.9385357299430075,0.79,0.75,0.852,0.772,32233,1612,33845,11637,33797,31948,1849,33926.18675420917,1508.8034074858754,35434.990161695045,33686.40356672734,489.98764124293785,1308.6255296610168,34176.39120797028,104.69785835927033,4.4579802259887,100.23987813328162,100.97914376708606,1.4477401129943503,99.5314036540917,24.558243635629225,89.40823121875388,11328,168.47351694915255,449.947563559322,518.775158898305,2.908395634613732,3020.3300000000004,741.7400000000002,2501.112,2000.8896000000002,1788.96,201.97853927646187,12541,10785
2014,350010,Adamantina,não,0.9301423027166882,0.9385357299430075,0.79,0.75,0.852,0.772,32318,1544,33862,11742,33797,31948,1849,34355.89325566519,1509.5612641242938,35865.454519789484,34154.370126147056,490.23375706214694,1309.2828389830509,34644.6038832092,105.91652743426107,4.457980225988701,101.45854720827236,102.31115670429745,1.4477401129943506,100.86341659130309,26.665375124258027,92.15332279302747,11328,169.99364406779662,454.0074152542373,523.4560381355932,2.883835803099983,3148.69,839.6100000000001,2560.9629999999997,2048.7704,1888.01,204.22513640056195,12808,10785
2015,350010,Adamantina,não,0.9301423027166882,0.9385357299430075,0.79,0.75,0.852,0.772,32398,1481,33879,11847,33797,31948,1849,34510.041731297846,1510.3191207627115,36020.360852060556,34459.121715240646,490.47987288135596,1309.9401483050847,34949.601588122,106.32061410331049,4.4579802259887,101.86263387732178,103.16007434730071,1.4477401129943503,101.71233423430635,23.545899990727985,94.13704259427368,11328,171.5137711864407,458.06726694915255,528.1369173728813,2.859711319321347,2804.14,660.2599999999998,2341.958,1873.5664000000002,1763.72,185.9262685808966,12974,10785
2016,350010,Adamantina,não,0.9301423027166882,0.9385357299430075,0.79,0.75,0.852,0.772,32460,1422,33882,11942,33797,31948,1849,34505.08211530374,1510.4528601694915,36015.53497547323,34606.08616267535,490.5233050847457,1310.0561440677966,35096.60946776009,106.29695701396975,4.457980225988701,101.83897678798104,103.58482222938461,1.4477401129943501,102.13708211639026,24.672649698396356,109.97461468121739,11328,172.8891242937853,461.74046610169495,532.3719985875706,2.8372131971194103,2922.71,721.1100000000001,2417.933,1934.3464000000001,2127.29,191.98545740207484,13075,10785
2017,350010,Adamantina,não,0.9301423027166882,0.9385357299430075,0.79,0.75,0.852,0.772,32518,1367,33885,12037,33797,31948,1849,34728.04979439741,1510.586599576271,36238.636393973684,34872.338296681824,490.5667372881356,1310.1721398305085,35362.90503396996,106.94595364902962,4.457980225988701,102.48797342304091,104.36153175142383,1.4477401129943503,102.91379163842947,24.46778716210516,110.92540836959168,11328,174.26447740112994,465.4136652542373,536.6070798022598,2.8150702002160006,2963.57,725.1199999999999,2455.9860000000003,1964.7888000000003,2179.4500000000003,193.75486982309087,13263,10785
2018,350010,Adamantina,não,0.9301423027166882,0.9385357299430075,0.79,0.75,0.852,0.772,32572,1316,33888,12133,33797,31948,1849,35116.19492666925,1510.7203389830506,36626.91526565231,35241.71668066046,490.6101694915254,1310.2881355932204,35732.326850151985,108.0822570398144,4.457980225988701,103.62427681382569,105.44241870323414,1.4477401129943503,103.99467859023979,24.06724107799398,111.14089637609376,11328,175.6543079096045,469.12552966101697,540.886740819209,2.7930437649385973,3032.67,729.8800000000001,2521.754,2017.4032,2242.16,196.74441046134316,13517,10785
2019,350010,Adamantina,não,0.9301423027166882,0.9385357299430075,0.79,0.75,0.852,0.772,32622,1269,33891,12230,33797,31948,1849,35748.05941331465,1510.8540783898304,37258.91349170448,35924.9977049701,490.65360169491527,1310.4041313559321,36415.651306665015,109.93748632883207,4.457980225988701,105.47950610284336,107.44932668456231,1.4477401129943503,106.00158657156796,18.675972206122015,115.02576305675322,11328,177.05861581920905,472.87605932203394,545.210981638418,2.77113654946852,2933.02,547.77,2549.581,2039.6648000000002,2346.14,195.39951368817128,13869,10785
