ugrhi,nome,ano,iqa,iap,iva,iqa_label,iap_label,iva_label,q7_10,q_95_percent,qmedio,demanda_total,demanda_superficial,demanda_total_qmedio,demanda_superficial_q7_10,demanda_total_q95_percent,pop,demanda_per_capita
1,Mantiqueira,2010,49,NA,4.8,Regular,Ótimo,Ruim,7,10,22,0.73,0.72,3.318181818181818,10.285714285714285,7.3,327930,2115.6710273533986
1,Mantiqueira,2011,49,NA,2.1,Regular,Ótimo,Ótimo,7,10,22,0.76,0.75,3.4545454545454546,10.714285714285714,7.6,330399,2099.8610770613714
1,Mantiqueira,2012,48,NA,2.5,Regular,Ótimo,Ótimo,7,10,22,0.73,0.72,3.318181818181818,10.285714285714285,7.3,333188,2082.283875769836
1,Mantiqueira,2013,51,NA,3.2,Regular,Ótimo,Bom,7,10,22,0.72,0.72,3.2727272727272725,10.285714285714285,7.199999999999999,336007,2064.814125896187
1,Mantiqueira,2014,55,NA,4.1,Bom,Ótimo,Regular,7,10,22,0.99,0.99,4.5,14.142857142857142,9.9,338854,2047.4658702568067
1,Mantiqueira,2015,52,NA,3.6,Bom,Ótimo,Regular,7,10,22,0.99,0.99,4.5,14.142857142857142,9.9,341728,2030.2462777413616
1,Mantiqueira,2016,56,NA,3.5,Bom,Ótimo,Regular,7,10,22,1.04,1.04,4.7272727272727275,14.857142857142858,10.4,344084,2016.3448460259706
1,Mantiqueira,2017,58,NA,3.3,Bom,Ótimo,Bom,7,10,22,1.11,1.1,5.045454545454546,15.714285714285717,11.100000000000001,346458,2002.5284450063214
1,Mantiqueira,2018,59,NA,3.8,Bom,Ótimo,Regular,7,10,22,1.11,1.1,5.045454545454546,15.714285714285717,11.100000000000001,348853,1988.7803745417123
1,Mantiqueira,2019,59,64,3.2,Bom,Bom,Bom,7,10,22,1.11,1.1,5.045454545454546,15.714285714285717,11.100000000000001,351266,1975.1185711113517
2,Paraíba do Sul,2010,69,57,3.3,Bom,Bom,Bom,72,93,216,9.76,6.93,4.518518518518518,9.625,10.494623655913978,4106595,1658.740635489986
2,Paraíba do Sul,2011,65,53,2.5,Bom,Bom,Bom,72,93,216,10.19,7.35,4.717592592592593,10.208333333333334,10.956989247311826,4148498,1641.9860874947994
2,Paraíba do Sul,2012,67,54,2.6,Bom,Bom,Bom,72,93,216,10.74,7.89,4.972222222222222,10.958333333333332,11.548387096774194,4195731,1623.5016019854465
2,Paraíba do Sul,2013,67,49,2.5,Bom,Regular,Bom,72,93,216,9.94,6.66,4.601851851851851,9.25,10.688172043010752,4243542,1605.2099873171987
2,Paraíba do Sul,2014,69,59,3.2,Bom,Bom,Bom,72,93,216,10.85,7.22,5.023148148148148,10.027777777777777,11.666666666666666,4291956,1587.1029432734167
2,Paraíba do Sul,2015,63,54,3.4,Bom,Bom,Regular,72,93,216,10.85,7.22,5.023148148148148,10.027777777777777,11.666666666666666,4340967,1569.1840090007595
2,Paraíba do Sul,2016,64,53,3.4,Bom,Bom,Regular,72,93,216,13.43,10.13,6.217592592592593,14.069444444444446,14.440860215053764,4384129,1553.7353029529925
2,Paraíba do Sul,2017,65,57,3.1,Bom,Bom,Bom,72,93,216,13.66,10.23,6.3240740740740735,14.208333333333334,14.688172043010752,4427766,1538.4227621784892
2,Paraíba do Sul,2018,65,50,3.4,Bom,Regular,Regular,72,93,216,16.11,12.08,7.458333333333334,16.77777777777778,17.32258064516129,4471871,1523.2496644022156
2,Paraíba do Sul,2019,64,52,3.4,Bom,Bom,Regular,72,93,216,16.26,12.29,7.5277777777777795,17.069444444444443,17.48387096774194,4516451,1508.2143036645366
3,Litoral Norte,2010,67,70,3.5,Bom,Bom,Regular,27,39,107,1.82,1.64,1.7009345794392523,6.0740740740740735,4.666666666666667,401388,8406.708720739036
3,Litoral Norte,2011,63,49,2.8,Bom,Regular,Bom,27,39,107,2.21,2.03,2.065420560747664,7.518518518518517,5.666666666666666,406942,8291.972811850337
3,Litoral Norte,2012,62,72,3,Bom,Bom,Bom,27,39,107,2.14,1.96,2,7.2592592592592595,5.487179487179487,413339,8163.642917798708
3,Litoral Norte,2013,64,76,3,Bom,Bom,Bom,27,39,107,2.74,2.56,2.560747663551402,9.481481481481481,7.0256410256410255,419868,8036.697247706423
3,Litoral Norte,2014,65,61,3.4,Bom,Bom,Regular,27,39,107,3.79,3.61,3.5420560747663554,13.370370370370368,9.717948717948719,426533,7911.115904279389
3,Litoral Norte,2015,63,70,3.1,Bom,Bom,Bom,27,39,107,3.79,3.61,3.5420560747663554,13.370370370370368,9.717948717948719,433329,7787.044024286397
3,Litoral Norte,2016,65,73,2.9,Bom,Bom,Bom,27,39,107,3,2.97,2.803738317757009,11,7.6923076923076925,439061,7685.383124440567
3,Litoral Norte,2017,64,65,3.3,Bom,Bom,Regular,27,39,107,3,2.97,2.803738317757009,11,7.6923076923076925,444883,7584.807691010895
3,Litoral Norte,2018,64,68,3.1,Bom,Bom,Bom,27,39,107,3.25,3.13,3.0373831775700935,11.592592592592592,8.333333333333332,450799,7485.26948817544
3,Litoral Norte,2019,65,63,3.1,Bom,Bom,Bom,27,39,107,3.29,3.16,3.074766355140187,11.703703703703704,8.435897435897436,456815,7386.692643630354
4,Pardo,2010,68,NA,3,Bom,Ótimo,Bom,30,44,139,12.09,7.11,8.697841726618705,23.700000000000003,27.477272727272727,309750,14151.74818401937
4,Pardo,2011,62,NA,2.4,Bom,Ótimo,Ótimo,30,44,139,12.37,7.18,8.899280575539569,23.93333333333333,28.113636363636363,311360,14078.571428571428
4,Pardo,2012,60,NA,2.5,Bom,Ótimo,Ótimo,30,44,139,12.75,7.19,9.172661870503598,23.966666666666665,28.97727272727273,313213,13995.281166490535
4,Pardo,2013,60,NA,2.8,Bom,Ótimo,Bom,30,44,139,12.85,7.33,9.244604316546761,24.433333333333334,29.204545454545457,315088,13911.999187528563
4,Pardo,2014,59,NA,3.8,Bom,Ótimo,Regular,30,44,139,13.48,7.85,9.697841726618705,26.166666666666664,30.63636363636364,316987,13828.655433819053
4,Pardo,2015,60,NA,3.8,Bom,Ótimo,Regular,30,44,139,13.48,7.85,9.697841726618705,26.166666666666664,30.63636363636364,318914,13745.097424384003
4,Pardo,2016,62,NA,3.4,Bom,Ótimo,Regular,30,44,139,11.36,6.63,8.172661870503596,22.1,25.818181818181817,320574,13673.922401691965
4,Pardo,2017,60,NA,3.4,Bom,Ótimo,Regular,30,44,139,14.13,7.85,10.16546762589928,26.166666666666664,32.11363636363637,322250,13602.805275407292
4,Pardo,2018,62,NA,3.4,Bom,Ótimo,Regular,30,44,139,16.44,9.27,11.827338129496404,30.9,37.36363636363637,323946,13531.588598099683
4,Pardo,2019,61,NA,3.5,Bom,Ótimo,Regular,30,44,139,16.52,9.61,11.884892086330936,32.03333333333333,37.54545454545454,325658,13460.452376419435
5,Piracicaba/Capivari/Jundiaí,2010,49,44,4.8,Regular,Regular,Ruim,43,65,172,59.97,60.65,34.866279069767444,141.04651162790697,92.26153846153846,2985100,1817.0888747445647
5,Piracicaba/Capivari/Jundiaí,2011,51,42,3.6,Regular,Regular,Regular,43,65,172,59.91,50.45,34.831395348837205,117.32558139534885,92.16923076923077,3023972.5,1793.7305977484914
5,Piracicaba/Capivari/Jundiaí,2012,53,52,3.4,Bom,Bom,Regular,43,65,172,53.58,50.58,31.151162790697672,117.62790697674419,82.43076923076923,3068054.5,1767.958163715801
5,Piracicaba/Capivari/Jundiaí,2013,50,47,3.9,Regular,Regular,Regular,43,65,172,53.63,50.69,31.180232558139537,117.88372093023256,82.50769230769231,3112917,1742.4788389796452
5,Piracicaba/Capivari/Jundiaí,2014,49,53,5.3,Regular,Bom,Ruim,43,65,172,34.08,30.65,19.81395348837209,71.27906976744185,52.43076923076922,3158540.5,1717.3096244927049
5,Piracicaba/Capivari/Jundiaí,2015,50,47,4.7,Regular,Regular,Ruim,43,65,172,34.08,30.65,19.81395348837209,71.27906976744185,52.43076923076922,3204978.5,1692.4269538781616
5,Piracicaba/Capivari/Jundiaí,2016,54,51,4,Bom,Bom,Regular,43,65,172,73.11,69.42,42.50581395348837,161.4418604651163,112.47692307692307,3240623.5,1673.8112279936252
5,Piracicaba/Capivari/Jundiaí,2017,54,51,3.9,Bom,Regular,Regular,43,65,172,77.43,70.78,45.01744186046512,164.6046511627907,119.12307692307694,3276742,1655.3613314688798
